date,day,oc3,al4,pet2,can,gbl,sachet,enmix,date_type,status_process,electric_consume
2022-01-01,Saturday,0,0,0,0,0,0,0,weekend,0,50752
2022-01-02,Sunday,441240,0,0,0,0,0,0,weekend,1,56624
2022-01-03,Monday,204816,1289657,645326,0,0,0,179835,workday,1,81504
2022-01-04,Tuesday,0,1305874,968366,0,0,0,179835,workday,1,93808
2022-01-05,Wednesday,903072,1207543,969703,0,0,0,209808,workday,1,114544
2022-01-06,Thursday,309528,0,623966,0,0,0,209808,workday,1,99168
2022-01-07,Friday,703272,690926,969703,0,0,0,134877,workday,1,82896
2022-01-08,Saturday,120144,0,0,0,0,0,0,weekend,1,96608
2022-01-09,Sunday,963504,0,0,0,0,0,0,weekend,1,80336
2022-01-10,Monday,941424,0,0,0,0,0,169833,workday,1,73680
2022-01-11,Tuesday,915216,0,0,0,0,0,179835,workday,1,85536
2022-01-12,Wednesday,705432,0,0,618914,48658,52000,179835,workday,1,93536
2022-01-13,Thursday,0,0,0,621607,49063,0,179835,workday,1,77472
2022-01-14,Friday,0,0,0,0,48919,0,135086,workday,1,72096
2022-01-15,Saturday,0,0,0,0,0,0,0,weekend,0,53472
2022-01-16,Sunday,0,0,0,0,0,0,0,weekend,0,40080
2022-01-17,Monday,0,0,0,413379,0,0,179835,workday,1,61808
2022-01-18,Tuesday,0,0,0,414148,0,0,179835,workday,1,74688
2022-01-19,Wednesday,0,304560,0,620973,62940,52681,179835,workday,1,67440
2022-01-20,Thursday,0,1341977,0,414080,63475,0,0,workday,1,71952
2022-01-21,Friday,0,1262709,0,620566,0,0,0,workday,1,97440
2022-01-22,Saturday,0,1286983,0,203657,0,0,0,weekend,1,80512
2022-01-23,Sunday,0,596503,0,0,0,0,0,weekend,1,76832
2022-01-24,Monday,777816,0,644023,0,0,0,179931,workday,1,71584
2022-01-25,Tuesday,699696,0,974091,0,62809,0,179835,workday,1,98992
2022-01-26,Wednesday,885360,0,971966,0,63064,0,179835,workday,1,80768
2022-01-27,Thursday,912120,0,976560,0,62932,0,132696,workday,1,105424
2022-01-28,Friday,907176,0,971794,0,0,0,0,workday,1,90784
2022-01-29,Saturday,948456,0,0,0,0,0,121754,weekend,1,103872
2022-01-30,Sunday,543816,0,0,0,0,0,0,weekend,1,77808
2022-01-31,Monday,0,0,647897,0,0,0,179959,workday,1,67680
2022-02-01,Tuesday,0,0,975634,0,0,0,0,workday,1,72096
2022-02-02,Wednesday,440328,1315166,973989,0,0,23276,209808,workday,1,103888
2022-02-03,Thursday,927504,942343,972823,0,0,0,209808,workday,1,128560
2022-02-04,Friday,947400,1330526,968949,0,0,60571,134877,workday,1,128752
2022-02-05,Saturday,930528,1358229,0,0,0,0,0,weekend,1,136944
2022-02-06,Sunday,62088,898971,0,0,0,0,0,weekend,1,87456
2022-02-07,Monday,0,803211,0,410867,49056,0,176928,workday,1,84544
2022-02-08,Tuesday,0,126823,534720,619027,48706,0,190210,workday,1,97056
2022-02-09,Wednesday,0,0,0,198204,48830,56571,179835,workday,1,60720
2022-02-10,Thursday,118392,334903,0,619163,0,14857,0,workday,1,71696
2022-02-11,Friday,829056,0,0,506246,0,22781,134877,workday,1,97536
2022-02-12,Saturday,904368,0,0,204540,0,0,0,weekend,1,100432
2022-02-13,Sunday,899232,705600,0,0,0,0,0,weekend,1,81264
2022-02-14,Monday,697128,0,0,620973,0,0,179835,workday,1,93040
2022-02-15,Tuesday,773616,0,0,620883,63319,0,179835,workday,1,100464
2022-02-16,Wednesday,902760,0,0,621041,63269,50267,179835,workday,1,120928
2022-02-17,Thursday,416304,0,0,413628,63245,0,179835,workday,1,92752
2022-02-18,Friday,0,0,0,462392,0,60571,134877,workday,1,64032
2022-02-19,Saturday,875184,1296926,0,0,0,0,0,weekend,1,57024
2022-02-20,Sunday,826368,204274,0,0,0,0,0,weekend,1,106464
2022-02-21,Monday,277488,1338754,967783,0,0,0,179835,workday,1,105072
2022-02-22,Tuesday,853608,449177,969909,0,63623,0,179835,workday,1,122104
2022-02-23,Wednesday,920928,1180731,973337,0,63253,60571,179835,workday,1,119128
2022-02-24,Thursday,644808,1038171,972514,0,63195,0,179835,workday,1,134480
2022-02-25,Friday,596952,646697,0,0,0,60571,134877,workday,1,114976
2022-02-26,Saturday,0,0,965040,0,0,0,0,weekend,1,76240
2022-02-27,Sunday,0,0,0,0,0,0,0,weekend,0,64464
2022-02-28,Monday,541200,462206,0,0,0,0,0,workday,1,61904
2022-03-01,Tuesday,1142136,1240183,968640,0,0,0,179835,workday,1,91472
2022-03-02,Wednesday,25248,1017154,969977,0,0,45143,179835,workday,1,135984
2022-03-03,Thursday,921576,569623,314914,0,0,0,163900,workday,1,102816
2022-03-04,Friday,880992,1164377,972480,0,0,0,179835,workday,1,116336
2022-03-05,Saturday,941424,695143,0,0,0,0,0,weekend,1,107840
2022-03-06,Sunday,535176,0,0,0,0,0,0,weekend,1,78080
2022-03-07,Monday,0,0,647383,0,63475,0,188434,workday,1,62960
2022-03-08,Tuesday,0,827074,972377,0,63360,0,211469,workday,1,92144
2022-03-09,Wednesday,955872,986777,973543,0,63253,48533,184004,workday,1,103504
2022-03-10,Thursday,956136,1231303,848229,0,127395,13371,177375,workday,1,131984
2022-03-11,Friday,900696,1027611,0,0,127600,10400,133031,workday,1,126512
2022-03-12,Saturday,908856,0,0,0,63302,0,0,weekend,1,124336
2022-03-13,Sunday,905280,755383,0,0,0,0,0,weekend,1,97312
2022-03-14,Monday,936024,1176309,0,226399,0,0,178580,workday,1,104080
2022-03-15,Tuesday,423072,120789,0,622263,63418,0,173769,workday,1,114176
2022-03-16,Wednesday,0,0,0,622354,63409,57143,154782,workday,1,63072
2022-03-17,Thursday,0,1162491,0,619208,63500,0,177375,workday,1,77440
2022-03-18,Friday,509136,1278377,0,511134,0,53367,0,workday,1,116208
2022-03-19,Saturday,293808,471840,0,0,0,0,0,weekend,1,98720
2022-03-20,Sunday,939624,679097,0,0,0,0,0,weekend,1,95216
2022-03-21,Monday,880056,861463,0,0,0,0,177375,workday,1,104880
2022-03-22,Tuesday,897888,1198251,0,0,63360,0,177375,workday,1,109712
2022-03-23,Wednesday,0,509657,970971,0,63467,0,177375,workday,1,99536
2022-03-24,Thursday,0,0,974091,0,63212,0,108396,workday,1,113584
2022-03-25,Friday,0,0,972274,0,0,0,0,workday,1,76512
2022-03-26,Saturday,941760,1299394,973406,0,0,0,0,weekend,1,59696
2022-03-27,Sunday,917664,1259554,0,0,0,0,0,weekend,1,121728
2022-03-28,Monday,0,512571,0,620159,0,0,199747,workday,1,106816
2022-03-29,Tuesday,463896,875349,0,620272,63418,0,177375,workday,1,109408
2022-03-30,Wednesday,930936,885189,0,619027,63525,52743,177375,workday,1,109984
2022-03-31,Thursday,659424,706697,0,621086,63516,0,0,workday,1,141072
2022-04-01,Friday,945096,609806,0,621064,0,53054,197083,workday,1,108832
2022-04-02,Saturday,216144,0,0,0,0,0,0,weekend,1,85200
2022-04-03,Sunday,0,1337897,0,0,0,0,0,weekend,1,68240
2022-04-04,Monday,915888,1363989,630651,0,0,0,201771,workday,1,101728
2022-04-05,Tuesday,180288,429291,542743,0,99106,0,206938,workday,1,116400
2022-04-06,Wednesday,877056,802869,1072389,0,98955,0,177375,workday,1,92832
2022-04-07,Thursday,868632,1112434,971349,0,0,0,177375,workday,1,134704
2022-04-08,Friday,674208,153291,968743,0,0,0,136361,workday,1,155968
2022-04-09,Saturday,0,1267440,645189,0,0,0,0,weekend,1,76784
2022-04-10,Sunday,955248,969600,0,0,0,0,37493,weekend,1,93808
2022-04-11,Monday,934008,1336560,704091,0,63508,0,206938,workday,1,125168
2022-04-12,Tuesday,924264,783120,827520,0,63467,55962,207006,workday,1,118384
2022-04-13,Wednesday,887544,82629,0,0,63640,0,194198,workday,1,132208
2022-04-14,Thursday,226560,0,1076297,0,63418,56210,206938,workday,1,81776
2022-04-15,Friday,0,1164343,955029,0,0,0,136652,workday,1,90272
2022-04-16,Saturday,692016,1364571,942343,0,0,55962,0,weekend,1,90272
2022-04-17,Sunday,871632,1385760,0,0,0,0,0,weekend,1,114432
2022-04-18,Monday,927552,1354217,0,414940,0,0,208936,workday,1,127104
2022-04-19,Tuesday,805752,1201474,0,664420,0,55962,206938,workday,1,128288
2022-04-20,Wednesday,923880,1365874,0,761135,0,55714,206938,workday,1,109488
2022-04-21,Thursday,551592,421543,0,0,0,55714,206938,workday,1,134112
2022-04-22,Friday,585888,0,0,617760,0,0,133031,workday,1,104960
2022-04-23,Saturday,0,0,0,620045,0,37576,16779,weekend,1,85984
2022-04-24,Sunday,0,1278309,0,0,0,0,0,weekend,1,76560
2022-04-25,Monday,91608,831497,968503,621086,0,0,206938,workday,1,89472
2022-04-26,Tuesday,862464,1289109,958903,619661,0,55962,206938,workday,1,123840
2022-04-27,Wednesday,929136,1371703,0,410844,0,55962,206938,workday,1,128416
2022-04-28,Thursday,930744,1205794,0,0,0,55900,199606,workday,1,113008
2022-04-29,Friday,0,216651,0,0,0,22286,154987,workday,1,82320
2022-04-30,Saturday,0,0,0,0,0,0,0,weekend,0,38672
2022-05-01,Sunday,0,0,0,0,0,0,0,weekend,0,37456
2022-05-02,Monday,0,0,0,0,0,0,0,workday,0,43600
2022-05-03,Tuesday,0,0,0,0,0,0,0,workday,0,36192
2022-05-04,Wednesday,0,0,0,0,0,0,0,workday,0,39040
2022-05-05,Thursday,0,1372663,0,0,0,0,0,workday,1,61520
2022-05-06,Friday,0,1344651,0,0,0,0,157667,workday,1,80864
2022-05-07,Saturday,337464,840891,0,0,0,0,0,weekend,1,99856
2022-05-08,Sunday,0,384000,0,0,0,55467,0,weekend,1,69776
2022-05-09,Monday,0,0,0,0,0,0,197083,workday,1,55248
2022-05-10,Tuesday,0,1280126,0,0,63451,55467,167521,workday,1,74512
2022-05-11,Wednesday,23400,966309,0,0,0,0,0,workday,1,80512
2022-05-12,Thursday,649056,0,603497,0,0,56210,93615,workday,1,83216
2022-05-13,Friday,913248,0,0,0,0,0,206938,workday,1,94544
2022-05-14,Saturday,928848,1093989,0,0,0,0,199331,weekend,1,80848
2022-05-15,Sunday,958224,620811,0,0,0,60571,0,weekend,1,90064
2022-05-16,Monday,888312,0,0,0,0,0,0,workday,1,112592
2022-05-17,Tuesday,634392,646800,0,616538,0,60571,199606,workday,1,94320
2022-05-18,Wednesday,0,1363440,0,620566,0,60571,206938,workday,1,101408
2022-05-19,Thursday,0,1379726,0,607260,0,0,206938,workday,1,93536
2022-05-20,Friday,925128,1272789,0,0,0,52990,133031,workday,1,125264
2022-05-21,Saturday,951168,95931,0,0,0,0,0,weekend,1,93648
2022-05-22,Sunday,483336,0,0,0,0,60571,0,weekend,1,82720
2022-05-23,Monday,962904,1320274,0,621064,0,60571,176654,workday,1,74240
2022-05-24,Tuesday,0,918891,0,620973,0,22571,177375,workday,1,112576
2022-05-25,Wednesday,737112,0,0,252942,0,55962,177375,workday,1,96240
2022-05-26,Thursday,0,1311840,0,0,0,0,133031,workday,1,72720
2022-05-27,Friday,0,1307657,0,0,0,0,0,workday,1,85744
2022-05-28,Saturday,418224,1366629,0,0,0,51257,0,weekend,1,87632
2022-05-29,Sunday,0,998229,0,0,0,0,0,weekend,1,73472
2022-05-30,Monday,0,336343,0,0,0,0,177375,workday,1,63952
2022-05-31,Tuesday,0,485863,0,0,0,33429,177375,workday,1,46368
2022-06-01,Wednesday,0,763577,0,0,0,0,0,workday,1,60048
2022-06-02,Thursday,0,1152171,961886,0,63508,0,206650,workday,1,84368
2022-06-03,Friday,0,1255371,711326,0,0,0,133031,workday,1,89280
2022-06-04,Saturday,0,1094571,0,0,0,0,0,weekend,1,79184
2022-06-05,Sunday,0,685989,0,0,0,0,0,weekend,1,64592
2022-06-06,Monday,0,710091,0,0,0,0,22599,workday,1,64464
2022-06-07,Tuesday,0,0,708137,0,0,0,176173,workday,1,65040
2022-06-08,Wednesday,0,0,353280,0,63730,13371,177375,workday,1,63728
2022-06-09,Thursday,0,0,0,0,63483,0,177375,workday,1,53440
2022-06-10,Friday,0,0,0,0,127230,0,0,workday,1,53936
2022-06-11,Saturday,0,0,0,0,0,0,0,weekend,0,42800
2022-06-12,Sunday,0,0,0,0,0,0,0,weekend,0,45984
2022-06-13,Monday,0,0,0,0,0,0,203343,workday,1,51184
2022-06-14,Tuesday,0,0,0,410754,49022,0,142885,workday,1,48512
2022-06-15,Wednesday,0,0,0,620136,48713,53397,177375,workday,1,46528
2022-06-16,Thursday,0,0,0,621222,48809,0,59125,workday,1,56176
2022-06-17,Friday,0,0,0,0,48837,0,0,workday,1,58000
2022-06-18,Saturday,0,1248857,0,0,0,0,0,weekend,1,63456
2022-06-19,Sunday,0,726343,0,0,0,0,0,weekend,1,69632
2022-06-20,Monday,0,1250571,0,0,0,0,179373,workday,1,68912
2022-06-21,Tuesday,0,1179771,0,621562,63533,0,176413,workday,1,72880
2022-06-22,Wednesday,0,904183,0,620408,63689,0,0,workday,1,76800
2022-06-23,Thursday,0,1332206,0,620589,0,23029,0,workday,1,74064
2022-06-24,Friday,0,641760,0,0,0,22038,0,workday,1,79296
2022-06-25,Saturday,0,0,0,0,0,0,0,weekend,0,57888
2022-06-26,Sunday,0,0,0,0,0,0,0,weekend,0,46688
2022-06-27,Monday,0,898491,0,0,0,0,177375,workday,1,78288
2022-06-28,Tuesday,0,1189851,0,412700,0,52495,177375,workday,1,86128
2022-06-29,Wednesday,0,1263291,0,0,0,0,175452,workday,1,77744
2022-06-30,Thursday,0,1078594,0,0,0,52000,0,workday,1,83440
2022-07-01,Friday,0,1267269,0,0,0,0,0,workday,1,83248
2022-07-02,Saturday,0,1201440,0,0,0,52495,0,weekend,1,70944
2022-07-03,Sunday,0,379234,0,0,0,0,0,weekend,1,82048
2022-07-04,Monday,254208,0,0,0,0,0,179373,workday,1,64864
2022-07-05,Tuesday,534912,0,239794,0,0,0,177375,workday,1,83568
2022-07-06,Wednesday,789576,0,604011,0,0,51752,177375,workday,1,92592
2022-07-07,Thursday,788016,1296891,854846,0,0,0,177375,workday,1,105808
2022-07-08,Friday,508368,576583,0,0,0,52000,0,workday,1,99680
2022-07-09,Saturday,645144,1350000,0,0,0,0,0,weekend,1,76816
2022-07-10,Sunday,749304,463097,0,0,0,0,0,weekend,1,92112
2022-07-11,Monday,0,1197737,0,0,0,0,179270,workday,1,96352
2022-07-12,Tuesday,0,0,0,620317,0,0,177375,workday,1,66304
2022-07-13,Wednesday,332904,679954,0,619819,0,51505,177375,workday,1,68064
2022-07-14,Thursday,338232,0,0,253168,0,0,177375,workday,1,96704
2022-07-15,Friday,804336,0,0,0,0,51938,0,workday,1,91344
2022-07-16,Saturday,403944,335349,0,0,0,0,0,weekend,1,71552
2022-07-17,Sunday,0,1098069,0,0,0,0,0,weekend,1,75248
2022-07-18,Monday,0,1076160,0,0,0,0,0,workday,1,74560
2022-07-19,Tuesday,743592,370423,0,0,0,743,0,workday,1,84288
2022-07-20,Wednesday,912600,417086,0,252671,0,51752,0,workday,1,94912
2022-07-21,Thursday,484176,336514,0,621697,0,0,0,workday,1,102528
2022-07-22,Friday,932304,0,0,0,0,52495,0,workday,1,85792
2022-07-23,Saturday,745896,0,0,0,0,0,0,weekend,1,82688
2022-07-24,Sunday,0,879703,0,0,0,0,0,weekend,1,75056
2022-07-25,Monday,0,0,0,0,0,51505,206650,workday,1,76528
2022-07-26,Tuesday,0,1287257,0,0,0,0,202011,workday,1,74352
2022-07-27,Wednesday,925896,820491,0,0,0,52248,177375,workday,1,90864
2022-07-28,Thursday,835176,915120,0,0,0,0,177375,workday,1,103680
2022-07-29,Friday,924168,0,0,0,0,52495,128704,workday,1,82304
2022-07-30,Saturday,872136,0,0,0,0,0,0,weekend,1,77904
2022-07-31,Sunday,710280,654651,0,0,0,0,0,weekend,1,75904
2022-08-01,Monday,633048,1219714,0,0,0,0,178707,workday,1,105008
2022-08-02,Tuesday,559680,1360389,0,0,63730,52248,177375,workday,1,129744
2022-08-03,Wednesday,0,1330800,600206,0,0,0,177375,workday,1,85920
2022-08-04,Thursday,126000,1254137,599589,0,0,52248,0,workday,1,99152
2022-08-05,Friday,877536,1312423,0,0,0,16838,0,workday,1,111232
2022-08-06,Saturday,784008,730560,0,0,0,0,0,weekend,1,104112
2022-08-07,Sunday,916200,0,0,0,0,0,0,weekend,1,83680
2022-08-08,Monday,938760,0,0,0,0,0,177375,workday,1,85408
2022-08-09,Tuesday,958704,412114,0,621154,0,0,180039,workday,1,99488
2022-08-10,Wednesday,953376,0,0,253372,0,52248,0,workday,1,95248
2022-08-11,Thursday,252144,0,0,0,0,0,0,workday,1,74016
2022-08-12,Friday,0,0,0,0,0,52248,0,workday,1,54336
2022-08-13,Saturday,410112,0,0,0,0,0,0,weekend,1,63088
2022-08-14,Sunday,804504,0,0,0,0,0,0,weekend,1,83824
2022-08-15,Monday,705816,1280640,0,620702,0,0,0,workday,1,85600
2022-08-16,Tuesday,0,1316297,0,0,0,52495,0,workday,1,91968
2022-08-17,Wednesday,0,384926,0,0,0,0,0,workday,1,73216
2022-08-18,Thursday,0,1161360,0,620611,0,22286,177375,workday,1,63696
2022-08-19,Friday,0,1320583,0,254187,0,23029,133031,workday,1,81744
2022-08-20,Saturday,0,0,0,0,0,0,0,weekend,0,63328
2022-08-21,Sunday,0,0,0,0,0,0,0,weekend,0,54464
2022-08-22,Monday,0,1197120,0,0,0,0,177375,workday,1,58176
2022-08-23,Tuesday,0,606103,0,619412,48905,52495,177375,workday,1,85344
2022-08-24,Wednesday,0,0,0,619367,0,0,177375,workday,1,65808
2022-08-25,Thursday,0,0,0,621019,0,52000,206650,workday,1,69184
2022-08-26,Friday,0,527109,0,0,0,0,133031,workday,1,70576
2022-08-27,Saturday,0,490663,0,0,0,52248,0,weekend,1,77664
2022-08-28,Sunday,0,0,0,0,0,0,158999,weekend,1,50448
2022-08-29,Monday,0,847166,0,0,0,0,0,workday,1,57024
2022-08-30,Tuesday,0,0,700869,0,0,0,0,workday,1,82448
2022-08-31,Wednesday,0,1332137,959006,0,0,52000,173769,workday,1,87328
2022-09-01,Thursday,0,1355177,912171,0,0,0,177375,workday,1,108656
2022-09-02,Friday,0,45360,349543,0,63813,52248,0,workday,1,84016
2022-09-03,Saturday,0,796526,0,0,0,0,0,weekend,1,65776
2022-09-04,Sunday,0,1300389,0,0,0,0,0,weekend,1,87648
2022-09-05,Monday,0,448217,0,0,0,0,175452,workday,1,76352
2022-09-06,Tuesday,0,0,0,0,63335,0,177375,workday,1,60176
2022-09-07,Wednesday,0,1008069,0,0,0,44853,177375,workday,1,91712
2022-09-08,Thursday,0,446743,0,0,0,0,177375,workday,1,51712
2022-09-09,Friday,0,1308891,0,0,0,0,0,workday,1,67568
2022-09-10,Saturday,0,1197840,0,0,0,0,0,weekend,1,81792
2022-09-11,Sunday,0,473417,0,0,0,0,0,weekend,1,72896
2022-09-12,Monday,0,1156971,0,0,0,0,56725,workday,1,64720
2022-09-13,Tuesday,0,875760,0,413017,48933,0,103469,workday,1,87968
2022-09-14,Wednesday,0,0,0,413062,0,0,177375,workday,1,59648
2022-09-15,Thursday,0,0,0,412315,0,0,0,workday,1,65024
2022-09-16,Friday,0,0,0,0,0,0,0,workday,0,60848
2022-09-17,Saturday,0,1225611,0,0,0,0,0,weekend,1,65808
2022-09-18,Sunday,0,1176309,0,0,0,0,0,weekend,1,70224
2022-09-19,Monday,0,719520,0,619729,0,0,177375,workday,1,77248
2022-09-20,Tuesday,0,0,0,618891,0,0,177375,workday,1,78064
2022-09-21,Wednesday,0,0,0,407948,63615,53981,177375,workday,1,71232
2022-09-22,Thursday,0,0,0,189695,0,0,206650,workday,1,58352
2022-09-23,Friday,321504,55166,0,0,0,52248,0,workday,1,64944
2022-09-24,Saturday,238200,0,0,0,0,0,0,weekend,1,74352
2022-09-25,Sunday,32616,0,0,0,0,0,0,weekend,1,65952
2022-09-26,Monday,361752,0,354137,0,0,0,170525,workday,1,83024
2022-09-27,Tuesday,804576,486686,826080,0,0,0,177375,workday,1,98432
2022-09-28,Wednesday,390096,767314,1092343,0,0,52495,177375,workday,1,116480
2022-09-29,Thursday,799368,1272891,562320,0,0,0,177375,workday,1,147792
2022-09-30,Friday,356856,878434,0,0,0,52495,133031,workday,1,85664
2022-10-01,Saturday,0,500640,0,0,0,0,0,weekend,1,57344
2022-10-02,Sunday,795984,1076537,0,0,0,0,0,weekend,1,81936
2022-10-03,Monday,844344,0,0,0,63451,0,177375,workday,1,86912
2022-10-04,Tuesday,435216,0,0,621878,63442,0,177375,workday,1,94496
2022-10-05,Wednesday,729792,0,0,620928,0,52000,177375,workday,1,88928
2022-10-06,Thursday,693912,889406,0,412383,49008,14114,177375,workday,1,105872
2022-10-07,Friday,884232,948480,0,0,49070,25752,0,workday,1,93616
2022-10-08,Saturday,382488,1323531,0,0,0,0,0,weekend,1,103216
2022-10-09,Sunday,0,1196194,0,0,0,0,0,weekend,1,90864
2022-10-10,Monday,0,1285440,0,0,0,0,199331,workday,1,78688
2022-10-11,Tuesday,912648,1237234,0,411478,0,0,179373,workday,1,117888
2022-10-12,Wednesday,917280,475234,0,412089,0,52000,177375,workday,1,118496
2022-10-13,Thursday,605664,0,0,412496,0,0,177375,workday,1,98624
2022-10-14,Friday,555312,0,0,0,0,52000,103469,workday,1,101408
2022-10-15,Saturday,0,0,0,0,0,0,0,weekend,0,52656
2022-10-16,Sunday,788592,0,0,0,0,0,0,weekend,1,69248
2022-10-17,Monday,862800,0,354171,0,0,0,170163,workday,1,87184
